product_id,label,manufacturer,certificate_status,ingredients,cluster,umap_1,umap_2
Chicken_Noodle_Soup_With_Big_Chunks_Of_Chicken_Vegetables,Chicken Noodle Soup With Big Chunks Of Chicken Vegetables,Harris_Teeter;,NoCertificate,"Filtered_Water,Carrots,Water,Modified_Corn_Starch,Salt,Egg_White,Whole_Egg,Niacin,Ferrous_Sulfate,Thiamine_Mononitrate,Riboflavin,Folic_Acid,Celery,Potato_Starch,Potato_Flour,Flavorings,Modified_Cornstarch,Chicken_Fat,Sugar,Spice,White_Chicken_Meat,Sodium_Phosphate,Semolina,Carrot_Powder,Chicken_Meat",3,0.6882416,13.711356
Chinese_Noodles_Veggies_In_A_Cashew_Cream_Sauce,Chinese Noodles Veggies In A Cashew Cream Sauce,Amy_s_Amy_s_Kitchen_Inc_;,NoCertificate,"Water,Organic_Rice_Flour,Organic_Rice_Starch,Organic_Potato_Starch,Organic_Soy_Flour,Organic_Soybean,Salt,Organic_Carrots,Organic_Green_Beans,Organic_Cashews,Organic_Tofu",0,2.0338354,8.825277
Chocopie_Marshmallow,Chocopie Marshmallow,PT_Lotte_Indonesia;,NoCertificate,"Wheat_Flour,Chocolate,Glucose_Syrup,Sugar,Shortening,Glycerin,Egg,Dextrose,Modified_starch,Gelatin,raising_agent,Salt,High_Fructose_Corn_Syrup,Emulsifier,Preservative,Flavour_And_Flavouring,Hydrolized_Milk_Protein,stabilizer",7,-3.6124992,8.866848
Coated_Peanuts_Garlic_Flavor_Garuda,Coated Peanuts Garlic Flavor Garuda,PT_GarudaFood;,NoCertificate,"Tapioca_Flour,Peanuts,Palm_Oil,Sugar,Salt,Garlic",7,-1.9180903,6.2129927
Cocobella_Coconut_Water_Pineapple,Cocobella Coconut Water Pineapple,PT_Pulau_Sambu;,Renew,"Coconut_Water,Pineapple_Juice,Cane_Sugar,Citric_acid,Ascorbic_acid,Natural_Pineapple_Flavour",2,0.90588516,1.6104976
Cocona_Nata_De_Coco,Cocona Nata De Coco,PT_Segarindo_Primajaya;,NoCertificate,"Nata_De_Coco,Water,Sugar,Citric_acid,Preservative_Sodium_Benzoate,Coconut_Flavour",1,-4.132229,6.309745
Columbia_Egg_Barley_Enriched_Egg_Noodle_Product,Columbia Egg Barley Enriched Egg Noodle Product,A_Zerega_s_Sons_Inc_;,NoCertificate,"Durum_Flour_wheat_,Egg_Yolks_Or_Eggs,Niacin,Ferrous_Sulfate_iron_,Thiamin_Mononitrate_vitamin_B1_,Riboflavin_vitamin_B2_,Folic_Acid",3,0.37129807,14.179462
Dancow_Susu_Bubuk_Full_Cream,Dancow Susu Bubuk Full Cream,PT_Nestle_Indonesia;,NoCertificate,"milk_powder,Lactosa,Lecitin,Vitamin_Premix",1,-2.3000338,4.2738724
Dandan_Noodle_Flavoring,Dandan Noodle Flavoring,Chun_Yuen_Trading_Co_;,NoCertificate,"Canola_Oil,Soy_Sauce,Bean_Sprout,Sesame_Sauce,Peanut,Chili,Ginger,Garlic,Sugar,Monosodium_Glutamate",0,2.2977245,7.8050213
Deka_Wafer_Roll_ChocoNut_,Deka Wafer Roll ChocoNut ,PT_Dua_Kelinci;,NoCertificate,"Wheat_Flour,Sugar,Palm_Oil,Cocoa_Powder,Peanut_Pasta,Whey_Powder,Emulsifier_Soy_Lecithin,Salt,Artifical_Color",7,-2.4175608,9.1073675
Dr_Mcdougall_s_Right_Foods_Vegan_Noodle_Soup_Chicken,Dr Mcdougall s Right Foods Vegan Noodle Soup Chicken,Dr_Mcdouglla_s_Right_Foods;,NoCertificate,"Semolina_Durum_Wheat,Niacin,Ferrous_Sulfate_iron_,Thiamin_Mononitrate,Riboflavin,Folic_Acid,Onion,Carrot,Corn,Garlic,Potato_Starch,Yeast_Extract,Natural_Flavors,Soy_Sauce,Salt,Spices",3,0.60609525,13.627566
Dua_Kelinci_Deka_Crepes_Choco_Banana,Dua Kelinci Deka Crepes Choco Banana,PT_Dua_Kelinci;,NoCertificate,"Wheat_Flour,Sugar,Vegetable_Oil,Cocoa_Powder,Full_Milk,Banana_Powder,Emulsifier,Caramel_Color,Banana_Flavor",7,-2.1838377,8.371521
Dua_Kelinci_Deka_Crepes_Choco_Nut_flavor,Dua Kelinci Deka Crepes Choco Nut flavor,PT_Dua_Kelinci;,NoCertificate,"Wheat_Flour,Sugar,Peanut_Paste,Vegetable_Oil,Cocoa_Powder,Full_Cream_Milk,Salt,Caramel_Color,Emulsifier_Soy_Lecithin",7,-2.3663762,8.941265
Dua_Kelinci_Deka_Wafer_Roll_ChocoBanana_,Dua Kelinci Deka Wafer Roll ChocoBanana ,PT_Dua_Kelinci;,NoCertificate,"Sugar,Vegetable_Fat,Wheat_Flour,Cocoa_Powder,milk_powder,Banana,Corn_Starch,Emulsifier,Salt,Banana_Powder",7,-2.2941916,8.387591
Dua_Kelinci_Hot_Nut_Chili_Flavor_Kacang_Ala_Hawaii_,Dua Kelinci Hot Nut Chili Flavor Kacang Ala Hawaii ,PT_Dua_Kelinci;,NoCertificate,"Peanut,Tapioca_Flour,Wheat_Flour,Sugar,Salt,Garlic,Chilli_Extract,Clacium,Food_Colour,Aspartame",1,-1.9202809,6.249935
Dua_Kelinci_Hot_Nut_Corn_Flavor_Kacang_Hawaii_,Dua Kelinci Hot Nut Corn Flavor Kacang Hawaii ,PT_Dua_Kelinci;,NoCertificate,"Peanuts,Tapioca_Flour,Wheat_Flour,Sugar,Sodium_Potassium_and_Calcium_Salts_of_Fatty_Acids,Garlic,Chilli_Extract,Calcium,Corn_Extract,Aspartame",7,-2.5557535,7.3356276
Dua_Kelinci_Kacang_Garing,Dua Kelinci Kacang Garing,PT_Dua_Kelinci;,NoCertificate,"Peanuts,Salt,Sugar",1,-1.8279335,5.47442
Dua_Kelinci_Krip_Krip_Multigrain_Chips,Dua Kelinci Krip Krip Multigrain Chips,PT_Dua_Kelinci;,NoCertificate,"Corn_Flour,Whole_Wheat_Flour,Vegetable_Oil,Rice_Flour,Oat_Flour,Sugar,Original_Seasoning,Flavor_Enhancer,Disodium_guanylate,Salt,Sunflower_See",7,-1.9948289,8.248932
Dua_Kelinci_Mix_Nut_Kacang_Campur_,Dua Kelinci Mix Nut Kacang Campur ,PT_Dua_Kelinci;,NoCertificate,"Peas,Broad_Bean,Peanuts,Tapioca_Flour,Palm_Oil,Sugar,Salt,Garlic,Flavor_Enhancer,Monosodium_Glutamate,Garlic_Powder,Sambal_Balado_Seasoning,Food_Coloring_Yellow_FCC,Food_Coloring_Ponceau_4R,Aspartame,Tartrazine,Brilliant_Blue,Cytrus_Hystrix_Leaves",0,3.4108143,9.117335
Dua_Kelinci_Tic_Tac_Snack_Original_Flavour,Dua Kelinci Tic Tac Snack Original Flavour,PT_Dua_Kelinci;,NoCertificate,"Tapioca,Garlic,Salt,Chilli_Seasoning,Monosodium_Glutamate,Aspartame,Fenilketonuria,Fenilalanin",0,2.77735,11.9210615
Dua_Kelinci_Tic_Tac_Spicy_Snack,Dua Kelinci Tic Tac Spicy Snack,PT_Dua_Kelinci;,NoCertificate,"Tapioca,Garlic,Salt,Chilli_Seasoning,Monosodium_Glutamate,Aspartame",0,2.77538,11.927368
Egg_Noodles,Egg Noodles,Manischewitz;,NoCertificate,"Durum_Flour_wheat_,Egg_Yolks_Or_Eggs,Niacin,Ferrous_Sulfate_iron_,Thiamin,Mononitrate_vitamin_B1_,Riboflavin_vitamin_B2_,Folic_Acid",3,0.3725181,14.188811
Energen_Susu_Cereal_Rasa_Jahe,Energen Susu Cereal Rasa Jahe,PT_Torabika_Eka_Semesta;,NoCertificate,"Sugar,Vegetable_Creamer,Wheat_Flour,milk_powder,Corn,Oat,Artificial_Flavour,Calcium_carbonate,Salt,Ginger_Powder,Vitamin_Premix,Egg_Powder,Malt_Extract",7,-2.1302876,7.973936
Energen_rasa_kacang_hijau,Energen rasa kacang hijau,PT_Torabika_Eka_Semesta;,NoCertificate,"Sugar,creamer,Wheat_Flour,milk_powder,Oat_Corn,Calcium_carbonate,Salt,Vanili,Eggs,Malt_Extract",7,-2.2879243,7.625341
Energen_rasa_vanila,Energen rasa vanila,PT_Torabika_Eka_Semesta;,NoCertificate,"creamer,Wheat_Flour,milk_powder,Oat_Corn,Calcium_carbonate,Salt,Vitamin_Premix,Vanili,Egg,Malt_Extract",7,-2.2571354,7.5941563
